Month; #Bug Fixed
2017-6;1
2015-8;23
2015-7;23
2013-9;5
2017-8;1
2015-9;26
2017-2;19
2015-4;22
2013-12;8
2013-6;2
2017-1;10
2015-3;28
2013-5;1
2015-6;39
2013-10;3
2013-8;6
2017-3;4
2015-5;14
2013-11;13
2013-7;14
2015-2;8
2015-1;16
2017-9;1
2014-10;41
2014-12;20
2014-11;46
2016-7;29
2015-11;15
2014-9;38
2018-4;2
2016-6;28
2015-10;21
2014-8;27
2016-9;2
2016-8;19
2018-1;2
2016-3;15
2014-5;21
2016-2;18
2014-4;7
2018-3;2
2016-5;24
2014-7;11
2018-2;6
2016-4;18
2015-12;21
2014-6;4
2014-1;14
2016-1;33
2014-3;22
2014-2;7
2018-8;3
2016-12;6
2016-11;2
2016-10;5
